platform_id,time_delta_hours,contact_freq_7d,new_account_flag,graph_distance,phase,victim_id,label
2,1.2354,20,0,0,1,7,1
3,1.4932,27,0,0,1,6,1
2,75.4834,4,0,0,1,5,0
2,0.5803,21,0,0,1,5,1
3,74.2367,4,0,0,1,6,0
3,66.2938,6,0,0,1,6,0
2,1.1659,24,0,0,1,5,1
0,66.9332,7,0,0,1,1,0
3,0.1585,33,0,0,1,9,1
3,55.8608,5,0,0,1,9,0
2,7.345,13,0,0,1,3,1
1,66.4554,6,0,1,1,1,0
3,47.7624,11,0,0,1,9,0
2,60.0427,7,0,0,1,3,0
3,52.81,7,0,1,1,6,0
1,57.5518,6,0,0,1,1,0
2,0.8733,17,0,0,1,3,1
0,1.1982,28,0,0,1,8,1
3,2.3403,16,1,0,1,6,1
2,80.8597,4,0,0,1,5,0
2,46.0681,5,0,1,1,7,0
3,1.9764,19,0,0,1,9,1
2,4.8798,16,0,0,1,7,1
3,47.6944,4,0,1,1,6,0
0,29.4469,4,0,0,1,8,0
3,76.5641,5,0,1,1,6,0
1,3.1766,9,1,0,1,1,1
1,2.7498,30,0,0,1,1,1
0,0.411,24,0,1,1,8,1
1,46.076,5,0,0,1,0,0
2,54.4677,1,0,0,1,4,0
0,2.3291,24,0,0,1,8,1
3,69.1712,10,0,0,1,0,0
3,0.1803,24,0,1,1,6,1
3,63.5878,4,0,0,1,6,0
1,1.8773,21,0,0,1,1,1
3,45.3252,5,0,0,1,6,0
2,48.0511,2,0,1,1,4,0
3,1.2703,26,0,0,1,6,1
0,0.333,26,0,1,1,2,1
0,83.2398,4,0,1,1,2,0
0,26.8494,5,0,1,1,8,0
2,75.9934,6,0,2,1,6,0
0,2.3232,6,0,0,1,0,1
3,6.2834,10,0,0,1,9,1
1,56.5891,2,0,1,1,5,0
0,56.4606,1,0,0,1,4,0
2,0.4708,28,0,1,1,4,1
0,8.105,7,1,0,1,2,1
0,36.5518,6,0,0,1,0,0
2,1.383,29,0,0,1,4,1
2,84.1846,5,0,0,1,3,0
3,79.4059,6,0,0,1,6,0
2,89.3221,6,0,0,1,3,0
2,0.4673,21,0,0,1,4,1
2,7.1308,7,0,1,1,4,1
0,32.8198,5,1,0,1,8,0
2,55.3146,1,0,0,1,4,0
0,1.0,10,0,0,1,2,1
3,1.2248,23,0,0,1,6,1
0,34.6726,5,0,1,1,0,0
0,96.4691,1,0,0,1,2,0
3,0.1,25,0,0,1,9,1
2,0.2241,20,0,0,1,5,1
0,70.0014,3,0,0,1,2,0
1,64.4809,6,0,0,1,1,0
2,2.3784,14,0,0,1,3,1
0,1.508,23,0,1,1,0,1
0,10.3899,6,0,1,1,0,1
2,79.9951,5,0,1,1,5,0
1,0.6574,28,0,1,1,1,1
2,2.4134,20,0,0,1,4,1
3,1.2936,14,0,1,1,9,1
1,76.2122,7,0,1,1,1,0
2,72.6499,4,0,0,1,5,0
2,1.1561,30,0,0,1,5,1
0,3.8243,16,0,1,1,0,1
2,51.5466,3,0,0,1,4,0
2,1.2201,23,0,0,1,5,1
0,2.3921,26,0,1,1,8,1
0,27.7246,6,0,0,1,0,0
0,3.0721,7,0,0,1,2,1
0,39.5522,6,0,1,1,0,0
0,32.9285,6,1,0,1,0,0
3,55.198,5,0,0,1,9,0
2,40.8667,3,0,1,1,7,0
0,1.7946,27,0,1,1,0,1
2,0.6599,26,0,1,1,4,1
0,25.2736,6,0,1,1,8,0
2,89.1687,7,0,0,1,1,0
0,81.757,1,0,0,1,2,0
3,32.4396,4,0,0,1,6,0
0,1.7119,31,0,0,1,8,1
0,1.7147,22,0,0,1,0,1
0,1.0759,31,0,0,1,8,1
3,11.5265,16,0,1,1,9,1
0,48.6404,8,0,1,1,0,0
0,53.7452,7,1,0,1,0,0
3,2.7419,11,0,0,1,9,1
0,74.6031,1,0,0,1,2,0
0,2.0991,24,0,0,1,0,1
2,22.955,3,0,1,1,3,0
3,24.2888,3,0,1,1,9,0
0,1.7486,22,0,0,1,2,1
0,1.0,8,1,0,1,2,1
2,2.3776,25,0,0,1,3,1
2,1.2535,8,1,0,1,7,1
2,1.2068,28,0,1,1,3,1
0,1.7794,24,0,0,1,2,1
2,33.1207,3,0,0,1,7,0
2,8.2484,12,0,1,1,7,1
2,0.1,20,0,0,1,3,1
0,1.282,23,0,0,1,8,1
2,72.6221,2,0,2,1,5,0
3,52.7147,5,0,1,1,9,0
0,1.4229,24,0,0,1,2,1
2,1.2113,23,0,0,1,7,1
1,60.4072,9,0,1,1,1,0
2,0.8423,24,0,1,1,4,1
2,0.1,19,0,0,1,3,1
3,6.5531,16,0,0,1,9,1
2,45.1038,5,0,0,1,7,0
0,15.5281,4,0,0,1,8,0
2,54.2768,5,0,0,1,5,0
0,0.1,16,0,0,1,2,1
2,4.1324,7,1,0,1,4,1
0,1.1173,24,0,1,1,2,1
1,1.7915,23,0,0,1,1,1
2,44.1664,6,0,1,1,3,0
2,41.5735,5,0,0,1,7,0
3,8.6228,7,0,0,1,9,1
1,1.1311,28,0,0,1,1,1
2,0.1,23,0,0,1,4,1
2,70.9686,7,0,1,1,3,0
2,74.3198,4,0,1,1,3,0
2,54.0366,4,0,0,1,3,0
2,55.8734,3,0,0,1,4,0
1,51.2364,5,0,0,1,1,0
3,1.2517,27,0,0,1,9,1
2,0.5524,27,0,0,1,7,1
2,5.3648,11,0,1,1,5,1
0,0.1,19,0,0,1,2,1
2,66.5028,6,0,0,1,6,0
2,0.8456,24,0,0,1,5,1
2,99.5645,3,0,1,1,5,0
2,35.9779,3,0,0,1,7,0
2,23.7181,3,0,0,1,7,0
2,54.5863,5,0,0,1,4,0
2,0.781,26,0,0,1,7,1
2,53.7449,2,0,1,1,4,0
2,4.5293,7,0,0,1,7,1
2,73.3156,3,0,0,1,5,0
0,43.2585,4,0,0,1,0,0
2,76.9922,5,0,0,1,3,0
0,99.5329,2,0,0,1,2,0
2,20.9159,3,0,0,1,7,0
2,29.6008,1,0,0,1,4,0
3,18.0062,5,0,1,1,8,0
2,1.8069,8,0,0,1,5,1
1,71.3694,7,0,1,1,1,0
0,1.5081,26,0,1,1,2,1
1,1.7301,26,0,1,1,1,1
0,2.5259,21,0,1,1,8,1
0,3.4025,13,0,1,1,0,1
2,1.0,8,0,0,1,7,1
3,78.3361,5,0,0,1,6,0
3,0.83,29,0,0,1,6,1
2,10.1116,9,0,1,1,3,1
3,67.575,4,0,0,1,3,0
2,1.564,31,0,1,1,3,1
2,0.8898,20,0,0,1,7,1
2,82.3788,7,0,1,1,3,0
0,33.4088,6,0,1,1,8,0
1,40.6296,4,0,0,1,0,0
2,43.7409,2,0,0,1,7,0
0,49.5352,4,0,0,1,2,0
1,71.979,6,0,0,1,1,0
0,0.3226,33,0,0,1,0,1
1,59.6131,3,0,0,1,6,0
2,0.9001,28,1,0,1,3,1
3,1.2058,21,1,0,1,9,1
3,76.6047,1,0,0,1,5,0
3,0.6683,19,0,0,1,9,1
2,1.8001,34,0,0,1,3,1
2,0.1,26,0,0,1,5,1
0,34.0607,6,0,1,1,8,0
0,65.3687,2,0,0,1,2,0
2,20.1125,3,0,0,1,7,0
0,0.5336,21,0,0,1,2,1
0,13.6753,3,0,0,1,8,0
2,0.7766,24,0,1,1,5,1
0,84.6842,1,0,0,1,2,0
1,32.2241,4,0,1,1,7,0
1,80.5702,5,0,1,1,1,0
0,0.1263,22,0,0,1,2,1
2,10.4565,1,0,0,1,4,0
0,0.5386,24,0,0,1,8,1
1,41.4157,5,0,0,1,1,0
0,31.7859,4,0,1,1,8,0
0,92.7413,1,0,0,1,2,0
2,1.6787,27,0,1,1,3,1
2,1.0,6,0,1,1,4,1
1,51.3237,3,0,1,1,4,0
3,70.0668,5,0,1,1,6,0
2,0.9594,15,1,0,1,5,1
2,0.9926,24,0,1,1,7,1
2,1.6134,14,0,0,1,7,1
2,31.0483,4,0,0,1,7,0
2,2.0199,23,0,0,1,5,1
0,1.554,30,0,0,1,2,1
3,80.2029,6,0,1,1,6,0
2,1.5512,21,0,1,1,4,1
0,23.4416,4,0,1,1,8,0
2,0.1,30,0,0,1,4,1
0,1.9154,24,0,1,1,2,1
0,2.7144,27,1,0,1,8,1
2,1.2891,22,0,1,1,5,1
0,23.3822,4,0,0,1,8,0
2,7.4328,12,0,1,1,7,1
2,0.7048,21,0,0,1,5,1
2,2.2073,24,0,0,1,7,1
2,3.4477,22,0,0,1,5,1
2,0.7087,16,0,0,1,7,1
3,70.2383,3,1,0,1,6,0
0,2.2014,21,0,1,1,2,1
2,83.9596,6,0,1,1,3,0
3,0.3054,22,0,0,1,6,1
0,12.0842,7,0,0,1,8,0
3,0.6844,21,0,0,1,9,1
0,58.8631,5,0,0,1,9,0
1,11.5172,4,0,0,1,8,0
2,42.0361,2,0,0,1,4,0
3,0.707,18,0,0,1,6,1
2,60.9425,7,0,0,1,3,0
0,0.1,24,0,0,1,2,1
2,1.4923,27,0,0,1,3,1
2,4.2548,9,0,0,1,5,1
2,2.6899,27,0,1,1,4,1
0,1.0391,30,1,0,1,2,1
2,65.0542,3,0,0,1,2,0
3,1.8175,23,0,0,1,6,1
2,1.9327,23,1,1,1,4,1
0,18.5879,7,0,0,1,8,0
2,40.5604,2,0,0,1,7,0
0,94.7992,2,0,0,1,2,0
1,76.9786,3,0,0,1,5,0
0,1.6673,19,0,0,1,8,1
0,0.317,27,1,0,1,2,1
2,58.3192,4,0,0,1,7,0
3,0.9709,21,0,0,1,6,1
0,63.5581,2,0,0,1,2,0
3,0.2878,23,0,0,1,9,1
0,1.4102,26,1,1,1,0,1
3,0.1,21,0,0,1,9,1
1,59.8263,8,0,1,1,1,0
2,77.1565,1,0,0,1,5,0
1,0.846,31,0,0,1,1,1
2,44.5534,5,0,0,1,4,0
2,66.7733,5,0,0,1,3,0
2,2.7483,24,0,0,1,7,1
2,68.3083,4,0,0,1,3,0
0,27.8451,4,0,1,1,0,0
0,38.122,6,0,1,1,0,0
0,1.0564,22,0,1,1,0,1
2,62.3627,3,0,0,1,3,0
0,0.4144,17,0,1,1,2,1
1,29.8892,3,0,1,1,7,0
3,51.6472,8,0,0,1,6,0
2,1.0,7,0,0,1,4,1
1,48.3712,8,0,0,1,1,0
1,1.0475,30,1,1,1,1,1
2,2.351,23,1,1,1,4,1
3,1.2329,30,0,1,1,9,1
2,0.1775,33,0,0,1,7,1
2,0.1,19,0,0,1,3,1
0,7.4146,13,0,0,1,0,1
3,1.3684,32,0,0,1,9,1
0,9.4448,12,0,1,1,8,1
2,10.6556,14,0,0,1,4,1
2,0.8274,36,0,0,1,5,1
2,1.0,12,0,0,1,5,1
0,18.5958,8,0,1,1,8,0
0,1.8971,25,0,0,1,0,1
2,72.3286,5,0,0,1,5,0
0,0.1,18,1,1,1,8,1
0,6.7058,6,0,1,1,2,1
2,42.8764,1,0,2,1,4,0
0,10.3914,7,0,0,1,8,0
2,0.1,14,0,0,1,4,1
2,1.3622,21,1,0,1,3,1
1,39.9373,8,0,0,1,1,0
2,102.6712,2,0,1,1,5,0
2,0.1,25,0,1,1,4,1
0,42.0097,5,0,0,1,1,0
0,40.7475,3,0,0,1,0,0
0,7.4655,9,0,0,1,0,1
2,1.6065,25,0,1,1,5,1
3,1.0113,22,1,0,1,6,1
2,0.6606,20,1,0,1,4,1
0,28.0606,2,0,0,1,8,0
0,10.6073,11,0,0,1,0,1
0,12.0619,5,0,0,1,8,1
2,1.0683,15,0,0,1,4,1
2,64.1768,3,0,0,1,5,0
2,58.1557,3,0,0,1,5,0
2,72.0617,7,0,0,1,3,0
0,1.0,6,0,0,1,8,0
0,74.5734,4,0,0,1,2,0
1,1.421,17,0,1,1,1,1
1,72.7137,4,0,1,1,2,0
0,1.5176,24,0,0,1,2,1
3,56.431,6,0,0,1,9,0
0,0.1795,18,1,0,1,0,1
3,3.7968,11,0,0,1,6,1
3,45.0328,8,0,0,1,9,0
1,1.0563,25,0,1,1,1,1
3,0.1,26,0,1,1,6,1
0,4.9829,13,0,0,1,0,1
2,2.1602,25,0,0,1,3,1
0,1.0929,17,1,0,1,0,1
2,45.3481,4,0,1,1,7,0
3,60.5032,4,0,0,1,9,0
0,0.7385,24,0,0,1,8,1
3,46.5657,1,0,0,1,4,0
2,72.0922,2,0,0,1,5,0
0,1.0428,28,0,0,1,8,1
0,26.0344,6,0,1,1,8,0
3,2.2466,22,0,0,1,6,1
2,1.2224,23,0,0,1,4,1
2,1.2544,22,0,0,1,4,1
2,46.2042,1,0,0,1,4,0
2,1.4375,17,0,0,1,5,1
1,69.3973,8,0,0,1,9,0
2,1.2543,27,0,0,1,5,1
3,53.4235,5,0,0,1,9,0
3,2.6648,19,1,0,1,9,1
3,76.7459,4,0,0,1,6,0
2,34.6254,5,1,0,1,7,0
2,1.4592,20,0,0,1,5,1
2,0.8087,23,0,0,1,4,1
2,74.1378,5,0,0,1,3,0
0,1.5087,20,0,0,1,0,1
2,33.9669,4,0,0,1,4,0
0,38.2378,4,0,0,1,8,0
2,1.7521,26,0,0,1,3,1
2,76.8786,3,0,1,1,6,0
2,8.4274,10,0,0,1,5,1
0,1.7594,34,0,0,1,2,1
1,49.0722,7,0,0,1,1,0
2,29.8258,5,0,0,1,7,0
0,7.2382,11,0,1,1,0,1
0,6.8736,17,0,0,1,8,1
3,4.0105,8,0,0,1,9,1
0,65.9982,8,0,1,1,0,0
0,19.3737,8,0,1,1,8,0
1,8.8066,5,1,1,1,1,1
2,1.2692,26,0,0,1,4,1
2,47.9492,10,0,1,1,0,0
2,1.6402,20,0,1,1,5,1
0,0.4468,25,0,0,1,8,1
2,39.3463,6,0,1,1,7,0
1,0.489,24,0,0,1,1,1
3,2.7332,20,0,1,1,6,1
0,71.5193,6,0,2,1,9,0
1,1.1464,18,0,0,1,1,1
3,0.4679,26,1,0,1,6,1
2,3.045,9,0,1,1,5,1
2,0.7254,22,0,0,1,4,1
0,60.8012,5,0,0,1,0,0
3,1.5624,22,0,1,1,6,1
1,59.0861,7,0,0,1,1,0
2,13.4587,4,1,0,1,7,0
2,46.4901,5,0,0,1,5,0
2,0.6166,22,0,0,1,3,1
3,0.1,25,0,0,1,6,1
3,0.9375,14,0,0,1,9,1
0,72.4411,1,0,0,1,2,0
3,1.2088,28,0,0,1,6,1
3,1.4445,28,0,1,1,9,1
2,45.9532,7,0,0,1,6,0
2,37.2286,1,0,1,1,4,0
0,68.542,4,0,1,1,1,0
2,32.2968,4,0,0,1,7,0
1,57.678,7,0,1,1,1,0
3,1.0119,36,0,0,1,9,1
2,71.9861,4,0,1,1,3,0
0,2.3488,22,0,0,1,8,1
2,66.7815,9,0,0,1,3,0
3,0.1243,20,0,1,1,9,1
2,65.5546,6,0,1,1,3,0
2,7.8591,11,0,0,1,3,1
1,0.3532,23,0,0,1,1,1
0,0.9372,24,0,0,1,0,1
3,0.9908,24,0,0,1,6,1
2,61.0552,4,0,0,1,4,0
2,0.6281,31,0,1,1,5,1
0,43.3068,4,0,1,1,0,0
1,72.2121,3,0,1,1,6,0
3,0.2419,27,0,0,1,9,1
2,57.8297,7,0,0,1,3,0
2,104.1029,2,0,0,1,5,0
0,27.3545,3,0,0,1,8,0
2,78.2879,6,0,0,1,3,0
2,0.9837,26,0,0,1,7,1
2,62.7736,2,0,0,1,5,0
0,5.657,10,0,0,1,8,1
1,68.6232,6,0,0,1,6,0
2,54.0906,3,0,0,1,5,0
3,77.0766,6,0,0,1,6,0
0,1.082,32,0,0,1,2,1
0,76.676,1,0,0,1,2,0
2,1.9899,30,0,0,1,3,1
2,1.6633,31,0,1,1,7,1
1,67.7304,8,1,0,1,1,0
2,2.1835,20,0,0,1,7,1
1,2.1183,14,1,0,1,1,1
3,0.3584,26,1,0,1,9,1
3,59.3358,3,0,1,1,6,0
2,45.6451,5,0,0,1,4,0
3,63.8871,6,0,0,1,9,0
0,1.3265,28,1,0,1,2,1
3,1.1528,36,0,0,1,9,1
0,0.5496,22,0,0,1,0,1
2,83.3165,6,0,0,1,3,0
2,77.0848,6,0,1,1,1,0
0,0.1,25,0,0,1,2,1
2,77.7685,6,0,0,1,5,0
3,59.3569,2,0,1,1,6,0
0,17.25,2,0,0,1,8,0
0,0.7043,26,0,1,1,2,1
2,27.59,4,0,1,2,7,0
2,52.7213,8,0,2,2,1,0
3,31.37,4,0,0,2,7,0
2,76.8468,4,0,0,2,3,0
0,17.8275,5,0,1,2,2,1
2,6.3975,12,0,1,2,7,1
3,39.597,3,0,0,2,7,0
3,76.0883,1,0,1,2,2,0
1,15.3897,12,0,1,2,1,1
3,3.8655,18,0,1,2,9,1
0,8.8034,15,0,1,2,0,1
2,6.7803,13,1,1,2,3,1
0,13.6751,10,1,1,2,8,1
0,56.4643,7,0,0,2,1,0
1,33.0771,4,0,1,2,7,0
2,7.7367,14,0,1,2,7,1
3,7.7394,23,0,1,2,9,1
0,5.567,13,0,1,2,0,1
1,77.2836,3,0,1,2,6,0
0,7.9953,18,0,1,2,8,1
0,77.1208,7,0,0,2,9,0
3,11.3955,15,0,1,2,9,1
2,80.7509,7,1,0,2,5,0
2,23.8874,5,0,1,2,7,0
1,2.0,13,0,1,2,1,1
3,15.2587,16,0,1,2,9,1
3,13.9624,10,0,1,2,9,1
1,39.1911,1,0,1,2,4,0
0,10.6273,13,1,1,2,2,1
2,61.1586,7,0,1,2,6,0
3,14.9654,7,0,1,2,9,1
3,6.5736,17,0,1,2,6,1
0,8.9566,18,0,1,2,8,1
2,9.1135,9,0,1,2,3,1
0,41.4249,7,0,1,2,0,0
1,74.9218,4,0,0,2,6,0
0,9.3176,7,0,1,2,8,1
3,63.5554,7,0,0,2,1,0
2,7.7009,16,0,1,2,4,1
1,72.1404,8,0,1,2,1,0
3,36.8431,4,0,0,2,7,0
1,77.1682,7,0,0,2,1,0
3,11.135,17,1,1,2,9,1
2,85.0468,3,0,0,2,3,0
3,32.3625,4,0,0,2,0,0
1,48.5825,7,0,1,2,1,0
0,11.2778,15,0,1,2,0,1
0,12.2929,8,0,1,2,0,1
0,15.4883,7,0,1,2,8,1
0,11.1181,17,0,1,2,0,1
1,62.9826,7,0,1,2,1,0
2,11.021,17,0,1,2,3,1
0,10.1068,18,0,1,2,2,1
0,7.4579,16,0,1,2,8,1
2,9.7597,21,0,1,2,3,1
1,5.7713,21,0,1,2,1,1
0,9.5881,10,0,1,2,2,1
0,35.8996,7,0,0,2,0,0
2,4.1495,15,0,1,2,4,1
1,72.7859,6,0,1,2,1,0
1,65.0696,4,0,1,2,9,0
0,71.9612,1,0,0,2,5,0
2,71.0481,5,0,0,2,6,0
1,57.3943,8,0,1,2,9,0
2,84.6325,8,0,1,2,1,0
0,37.1791,8,0,0,2,0,0
3,11.0361,21,0,1,2,9,1
0,38.4242,7,0,0,2,0,0
2,62.8572,3,0,0,2,4,0
2,9.6987,13,0,1,2,7,1
2,11.896,14,0,1,2,7,1
3,54.3019,2,0,1,2,6,0
2,9.4682,21,0,1,2,5,1
2,9.7105,15,0,1,2,5,1
3,9.5542,14,1,1,2,6,1
3,6.7731,19,0,1,2,6,1
2,3.4548,23,0,1,2,5,1
3,56.4046,3,0,0,2,1,0
2,68.3033,7,1,1,2,9,0
0,53.4661,5,0,1,2,9,0
2,25.6874,9,0,1,2,3,1
1,59.6221,9,0,0,2,1,0
0,59.4164,6,0,1,2,9,0
2,59.8944,8,0,0,2,3,0
3,4.6585,16,0,1,2,6,1
1,2.4753,18,0,1,2,1,1
2,6.7355,12,0,1,2,3,1
2,20.7961,4,0,1,2,8,0
1,85.5386,8,0,0,2,6,0
0,65.7199,2,0,1,2,5,0
2,12.4924,24,0,1,2,7,1
1,56.6015,7,0,1,2,9,0
2,2.1364,13,0,1,2,7,1
3,2.0,15,0,1,2,6,1
2,14.2647,4,0,0,2,8,0
3,8.1263,15,0,1,2,6,1
1,6.5062,20,0,1,2,1,1
1,7.9063,14,0,1,2,1,1
3,26.505,4,0,1,2,8,0
0,33.21,6,0,0,2,0,0
3,51.4483,5,0,1,2,4,0
3,27.4455,7,0,1,2,8,0
2,63.8092,5,0,2,2,0,0
3,4.2215,20,0,1,2,6,1
3,6.0406,10,0,1,2,6,1
2,42.2125,9,0,1,2,1,0
2,69.308,1,0,1,2,6,0
0,54.4227,2,0,0,2,4,0
3,10.8648,16,0,1,2,6,1
0,8.7167,7,0,1,2,2,1
0,5.0359,13,0,1,2,2,1
1,20.6681,4,0,0,2,8,0
0,63.9991,5,1,0,2,6,0
1,35.0444,7,0,0,2,0,0
1,47.803,7,0,0,2,9,0
2,61.9848,4,0,0,2,5,0
3,39.3889,3,0,0,2,4,0
0,53.6782,2,0,0,2,4,0
0,20.8095,11,0,1,2,2,1
0,2.7323,21,0,1,2,0,1
1,44.6885,4,0,0,2,4,0
2,18.9752,7,1,1,2,3,1
3,14.0781,14,0,1,2,6,1
2,13.4067,23,0,1,2,3,1
2,8.3169,10,0,1,2,4,1
2,10.133,11,0,1,2,4,1
2,28.5208,5,0,0,2,8,0
3,36.2193,2,0,0,2,4,0
3,57.8063,4,0,2,2,2,0
3,2.8674,10,0,1,2,6,1
0,10.8107,10,0,1,2,0,1
0,59.763,3,0,0,2,2,0
1,49.6728,7,0,1,2,9,0
2,2.0,22,0,1,2,5,1
0,17.7318,7,0,1,2,2,1
1,54.3103,8,1,1,2,1,0
2,6.5699,11,0,1,2,3,1
0,10.1844,17,0,1,2,0,1
3,55.561,4,0,0,2,0,0
2,11.3758,15,0,1,2,5,1
1,2.0,15,1,1,2,1,1
2,60.8131,1,0,0,2,4,0
2,64.9768,6,0,1,2,9,0
2,79.5774,8,0,1,2,1,0
2,15.4487,9,0,1,2,5,1
2,80.3939,5,0,1,2,5,0
0,10.0552,8,0,1,2,0,1
2,65.2841,2,0,0,2,4,0
1,83.5421,3,1,0,2,5,0
0,7.9937,16,0,1,2,8,1
0,13.9775,10,0,1,2,0,1
0,29.9564,5,0,1,2,2,1
1,24.8719,5,0,0,2,0,0
0,8.3472,10,1,1,2,0,1
3,14.6062,9,0,1,2,9,1
2,5.6309,2,0,2,2,7,0
2,46.8718,7,0,0,2,0,0
2,5.565,21,0,1,2,4,1
0,11.3914,13,0,1,2,8,1
0,71.093,5,0,2,2,1,0
0,14.7064,19,0,1,2,2,1
3,2.0,10,0,1,2,6,1
0,3.313,14,0,1,2,8,1
0,70.0845,6,0,1,2,0,0
0,36.7261,5,0,0,2,8,0
0,53.541,4,0,0,2,9,0
0,11.841,8,0,1,2,0,1
0,12.3663,18,0,1,2,0,1
3,16.0904,13,0,1,2,9,1
0,6.9891,15,1,1,2,2,1
0,2.3118,13,0,1,2,0,1
1,70.9516,7,0,0,2,3,0
3,35.5882,5,0,0,2,9,0
2,79.4705,3,0,0,2,2,0
0,16.1293,12,0,1,2,2,1
2,2.5275,23,0,1,2,3,1
3,39.0953,5,0,0,2,7,0
2,11.1603,10,0,1,2,3,1
3,69.067,1,0,2,2,2,0
2,2.131,12,0,1,2,7,1
2,27.896,3,0,0,2,7,0
2,13.5257,9,0,1,2,3,1
2,48.7497,5,0,1,2,8,0
1,78.8863,4,0,0,2,5,0
3,17.3939,11,1,1,2,9,1
1,91.5801,3,0,1,2,2,0
2,8.7213,11,0,1,2,7,1
1,40.6811,7,0,0,2,1,0
2,7.3588,22,0,1,2,4,1
2,3.1413,19,0,1,2,3,1
3,59.4935,7,0,1,2,9,0
2,2.7398,10,0,1,2,7,1
0,21.5709,8,1,1,2,8,1
2,4.3073,11,0,1,2,5,1
2,66.9198,3,0,0,2,2,0
2,12.6319,15,0,1,2,4,1
2,117.6843,1,0,0,2,2,0
1,10.2017,11,0,1,2,1,1
2,7.7153,10,0,1,2,3,1
2,9.088,13,1,1,2,7,1
3,73.6228,3,0,0,2,9,0
0,66.5684,8,0,1,2,1,0
3,39.856,3,0,2,2,4,0
2,2.0,16,0,1,2,3,1
2,9.1272,18,0,1,2,3,1
2,6.7161,16,0,1,2,3,1
2,3.903,16,0,1,2,4,1
0,64.3989,7,0,1,2,1,0
0,65.1437,3,0,0,2,9,0
2,5.0634,10,0,1,2,7,1
2,6.4869,12,0,1,2,5,1
0,10.5805,13,1,1,2,2,1
3,45.1183,4,0,0,2,6,0
2,17.198,6,0,1,2,5,1
2,75.6029,4,0,0,2,5,0
2,31.8447,4,0,0,2,7,0
0,17.9583,2,0,1,2,7,0
1,66.2872,3,0,0,2,4,0
2,5.7262,16,0,1,2,7,1
2,49.8899,1,0,0,2,4,0
2,4.3836,13,0,1,2,7,1
2,14.1884,16,0,1,2,5,1
3,54.8717,4,0,0,2,0,0
2,9.0933,25,0,1,2,3,1
2,76.4296,2,0,0,2,2,0
2,4.4022,15,0,1,2,7,1
1,48.9387,3,0,0,2,4,0
0,11.1408,11,0,1,2,8,1
2,75.291,4,0,1,2,5,0
1,11.904,26,0,1,2,1,1
0,10.9028,19,0,1,2,2,1
1,7.0889,19,0,1,2,1,1
0,7.2576,19,0,1,2,8,1
0,9.0918,16,0,1,2,0,1
2,20.2091,10,1,1,2,7,1
3,7.0519,19,0,1,2,6,1
1,100.3969,2,0,0,2,6,0
